text,video,Frame_hate,random_frame,random_ocr_text,combined_text
 The End Thank you. The End,hate_video_1,1,hate_video_1_frame2760.jpg,C, The End Thank you. The End [SEP] C
 I Like Sugar And the NAACP would sure like to get a hold of nigger hatin' me.,hate_video_2,1,hate_video_2_frame270.jpg,THE, I Like Sugar And the NAACP would sure like to get a hold of nigger hatin' me. [SEP] THE
" Roses are red and violets are blue and niggers are black, you know that's true.",hate_video_2,1,hate_video_2_frame690.jpg,THE," Roses are red and violets are blue and niggers are black, you know that's true. [SEP] THE"
" But they don't mind cause what the heck, you gotta be black to get a welfare check and I'm broke.",hate_video_2,1,hate_video_2_frame870.jpg,THE," But they don't mind cause what the heck, you gotta be black to get a welfare check and I'm broke. [SEP] THE"
" No joke, I ain't got a nickel for a coke and I ain't black, you see.",hate_video_2,1,hate_video_2_frame1080.jpg,THE," No joke, I ain't got a nickel for a coke and I ain't black, you see. [SEP] THE"
 So Uncle Sam won't help poor nigger hatin' me.,hate_video_2,1,hate_video_2_frame1170.jpg,THE, So Uncle Sam won't help poor nigger hatin' me. [SEP] THE
" Jigaboo, jigaboo, where are you?",hate_video_2,1,hate_video_2_frame1260.jpg,THE," Jigaboo, jigaboo, where are you? [SEP] THE"
 I was here in the wood while I was watchin' you.,hate_video_2,1,hate_video_2_frame1320.jpg,THE, I was here in the wood while I was watchin' you. [SEP] THE
" Jigaboo, jigaboo, come out, no.",hate_video_2,1,hate_video_2_frame1410.jpg,THE," Jigaboo, jigaboo, come out, no. [SEP] THE"
" So I scared all the white men way down south, you know it.",hate_video_2,1,hate_video_2_frame1500.jpg,THE," So I scared all the white men way down south, you know it. [SEP] THE"
" But I show it, stick your black jet out, and I blow it.",hate_video_2,1,hate_video_2_frame1590.jpg,THE," But I show it, stick your black jet out, and I blow it. [SEP] THE"
" know it. Cause I show it, stick your black jet out and I blow it. And the NAACP can't",hate_video_2,1,hate_video_2_frame1680.jpg,THE," know it. Cause I show it, stick your black jet out and I blow it. And the NAACP can't [SEP] THE"
" keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble",hate_video_2,1,hate_video_2_frame1950.jpg,THE," keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble [SEP] THE"
" with his baboon mouth. He's a-doin', It's caused by the trouble he's a-brewin'.",hate_video_2,1,hate_video_2_frame2160.jpg,THE," with his baboon mouth. He's a-doin', It's caused by the trouble he's a-brewin'. [SEP] THE"
 And the NAACP can't win if white men stick with nigger hatin' me.,hate_video_2,1,hate_video_2_frame2220.jpg,THE, And the NAACP can't win if white men stick with nigger hatin' me. [SEP] THE
" Hey, Mr. President, what do you say?",hate_video_2,1,hate_video_2_frame2400.jpg,THE," Hey, Mr. President, what do you say? [SEP] THE"
 When are we whites gonna have our day?,hate_video_2,1,hate_video_2_frame2460.jpg,THE, When are we whites gonna have our day? [SEP] THE
" The niggers had theirs such a long, long time.",hate_video_2,1,hate_video_2_frame2550.jpg,THE," The niggers had theirs such a long, long time. [SEP] THE"
 I'm a-white and it's time that I have mine.,hate_video_2,1,hate_video_2_frame2580.jpg,THE, I'm a-white and it's time that I have mine. [SEP] THE
" You know it, cause I show it.",hate_video_2,1,hate_video_2_frame2640.jpg,THE," You know it, cause I show it. [SEP] THE"
" Stick it back, get out and I'll blow it.",hate_video_2,1,hate_video_2_frame2730.jpg,THE," Stick it back, get out and I'll blow it. [SEP] THE"
 And the NAACP can't win if a white man stick with nigger hatin' me.,hate_video_2,1,hate_video_2_frame2850.jpg,THE, And the NAACP can't win if a white man stick with nigger hatin' me. [SEP] THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame2940.jpg,THE, Nigger hatin' me. [SEP] THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame3000.jpg,THE, Nigger hatin' me. [SEP] THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame3060.jpg,THE, Nigger hatin' me. [SEP] THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame3120.jpg,THE, Nigger hatin' me. [SEP] THE
 I simply must get through!,hate_video_3,1,hate_video_3_frame30.jpg,R, I simply must get through! [SEP] R
" Sorry, you're much too big!",hate_video_3,1,hate_video_3_frame60.jpg,PRO," Sorry, you're much too big! [SEP] PRO"
 Yeah man!,hate_video_3,1,hate_video_3_frame120.jpg,R, Yeah man! [SEP] R
 Bobby two pistols in his bitch!,hate_video_3,1,hate_video_3_frame150.jpg,R, Bobby two pistols in his bitch! [SEP] R
 Yeah man!,hate_video_3,1,hate_video_3_frame180.jpg,PRIDE, Yeah man! [SEP] PRIDE
 Fuck all those niggers man!,hate_video_3,1,hate_video_3_frame210.jpg,X, Fuck all those niggers man! [SEP] X
 Martin Luther King deserved to be killed!,hate_video_3,1,hate_video_3_frame300.jpg,ARO, Martin Luther King deserved to be killed! [SEP] ARO
 And fuck your nigger!,hate_video_3,1,hate_video_3_frame330.jpg,ARO, And fuck your nigger! [SEP] ARO
 Just grab and steal your shit man!,hate_video_3,1,hate_video_3_frame360.jpg,TRO, Just grab and steal your shit man! [SEP] TRO
 Fuck those niggers man!,hate_video_3,1,hate_video_3_frame420.jpg,TRO, Fuck those niggers man! [SEP] TRO
 Fuck all niggers!,hate_video_3,1,hate_video_3_frame450.jpg,TRO, Fuck all niggers! [SEP] TRO
 Fuck all niggers!,hate_video_3,1,hate_video_3_frame540.jpg,TRO, Fuck all niggers! [SEP] TRO
 Fuck all niggers!,hate_video_3,1,hate_video_3_frame600.jpg,ARO, Fuck all niggers! [SEP] ARO
 Fuck all niggers! Fuck all those niggers Fuck all niggers Fuck all niggers,hate_video_3,1,hate_video_3_frame600.jpg,ARO, Fuck all niggers! Fuck all those niggers Fuck all niggers Fuck all niggers [SEP] ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame630.jpg,ARO, Fuck all those niggers [SEP] ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame690.jpg,ARO, Fuck all those niggers [SEP] ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame720.jpg,ARO, Fuck all those niggers [SEP] ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame780.jpg,ARO, Fuck all those niggers [SEP] ARO
 Rapping still my shit,hate_video_3,1,hate_video_3_frame810.jpg,ARO, Rapping still my shit [SEP] ARO
 Rapping still my shit,hate_video_3,1,hate_video_3_frame840.jpg,TRO, Rapping still my shit [SEP] TRO
 They wanna rap and steal my shit,hate_video_3,1,hate_video_3_frame900.jpg,TRO, They wanna rap and steal my shit [SEP] TRO
 Because they can't get shit,hate_video_3,1,hate_video_3_frame960.jpg,TRO, Because they can't get shit [SEP] TRO
 Go and get a job,hate_video_3,1,hate_video_3_frame990.jpg,TRO, Go and get a job [SEP] TRO
 Stop trying to rob,hate_video_3,1,hate_video_3_frame1050.jpg,TRO, Stop trying to rob [SEP] TRO
 Stop trying to fuck my mom,hate_video_3,1,hate_video_3_frame1080.jpg,ARO, Stop trying to fuck my mom [SEP] ARO
 My dick is bigger than yards,hate_video_3,1,hate_video_3_frame1140.jpg,ARO, My dick is bigger than yards [SEP] ARO
" Fuck all niggers, they can burn in hell",hate_video_3,1,hate_video_3_frame1200.jpg,TRO," Fuck all niggers, they can burn in hell [SEP] TRO"
" Fuck Rosa Parks, I'll slap that bitch as well",hate_video_3,1,hate_video_3_frame1230.jpg,TRO," Fuck Rosa Parks, I'll slap that bitch as well [SEP] TRO"
" Niggers need to burn, niggers need to learn",hate_video_3,1,hate_video_3_frame1380.jpg,TRO," Niggers need to burn, niggers need to learn [SEP] TRO"
" Niggers can't pass class, niggers can't learn",hate_video_3,1,hate_video_3_frame1470.jpg,ARO," Niggers can't pass class, niggers can't learn [SEP] ARO"
" Stupid ass bitch, stupid ass black fucks",hate_video_3,1,hate_video_3_frame1560.jpg,ARO," Stupid ass bitch, stupid ass black fucks [SEP] ARO"
" Try to fucking take my shit and get a fucking job, yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah.",hate_video_3,1,hate_video_3_frame1680.jpg,TRO," Try to fucking take my shit and get a fucking job, yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah. [SEP] TRO"
