text,video,Frame_hate,random_frame,random_ocr_text
 The End Thank you. The End,hate_video_1,1,hate_video_1_frame2760.jpg,C
 I Like Sugar And the NAACP would sure like to get a hold of nigger hatin' me.,hate_video_2,1,hate_video_2_frame270.jpg,THE
" Roses are red and violets are blue and niggers are black, you know that's true.",hate_video_2,1,hate_video_2_frame690.jpg,THE
" But they don't mind cause what the heck, you gotta be black to get a welfare check and I'm broke.",hate_video_2,1,hate_video_2_frame870.jpg,THE
" No joke, I ain't got a nickel for a coke and I ain't black, you see.",hate_video_2,1,hate_video_2_frame1080.jpg,THE
 So Uncle Sam won't help poor nigger hatin' me.,hate_video_2,1,hate_video_2_frame1170.jpg,THE
" Jigaboo, jigaboo, where are you?",hate_video_2,1,hate_video_2_frame1260.jpg,THE
 I was here in the wood while I was watchin' you.,hate_video_2,1,hate_video_2_frame1320.jpg,THE
" Jigaboo, jigaboo, come out, no.",hate_video_2,1,hate_video_2_frame1410.jpg,THE
" So I scared all the white men way down south, you know it.",hate_video_2,1,hate_video_2_frame1500.jpg,THE
" But I show it, stick your black jet out, and I blow it.",hate_video_2,1,hate_video_2_frame1590.jpg,THE
" know it. Cause I show it, stick your black jet out and I blow it. And the NAACP can't",hate_video_2,1,hate_video_2_frame1680.jpg,THE
" keep you away from a little old nigger hatin' me. Mirror, mirror on the wall, who is the blackest of them all? A man named King, it ain't no doubt, and he's causin' lots of trouble",hate_video_2,1,hate_video_2_frame1950.jpg,THE
" with his baboon mouth. He's a-doin', It's caused by the trouble he's a-brewin'.",hate_video_2,1,hate_video_2_frame2160.jpg,THE
 And the NAACP can't win if white men stick with nigger hatin' me.,hate_video_2,1,hate_video_2_frame2220.jpg,THE
" Hey, Mr. President, what do you say?",hate_video_2,1,hate_video_2_frame2400.jpg,THE
 When are we whites gonna have our day?,hate_video_2,1,hate_video_2_frame2460.jpg,THE
" The niggers had theirs such a long, long time.",hate_video_2,1,hate_video_2_frame2550.jpg,THE
 I'm a-white and it's time that I have mine.,hate_video_2,1,hate_video_2_frame2580.jpg,THE
" You know it, cause I show it.",hate_video_2,1,hate_video_2_frame2640.jpg,THE
" Stick it back, get out and I'll blow it.",hate_video_2,1,hate_video_2_frame2730.jpg,THE
 And the NAACP can't win if a white man stick with nigger hatin' me.,hate_video_2,1,hate_video_2_frame2850.jpg,THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame2940.jpg,THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame3000.jpg,THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame3060.jpg,THE
 Nigger hatin' me.,hate_video_2,1,hate_video_2_frame3120.jpg,THE
 I simply must get through!,hate_video_3,1,hate_video_3_frame30.jpg,R
" Sorry, you're much too big!",hate_video_3,1,hate_video_3_frame60.jpg,PRO
 Yeah man!,hate_video_3,1,hate_video_3_frame120.jpg,R
 Bobby two pistols in his bitch!,hate_video_3,1,hate_video_3_frame150.jpg,R
 Yeah man!,hate_video_3,1,hate_video_3_frame180.jpg,PRIDE
 Fuck all those niggers man!,hate_video_3,1,hate_video_3_frame210.jpg,X
 Martin Luther King deserved to be killed!,hate_video_3,1,hate_video_3_frame300.jpg,ARO
 And fuck your nigger!,hate_video_3,1,hate_video_3_frame330.jpg,ARO
 Just grab and steal your shit man!,hate_video_3,1,hate_video_3_frame360.jpg,TRO
 Fuck those niggers man!,hate_video_3,1,hate_video_3_frame420.jpg,TRO
 Fuck all niggers!,hate_video_3,1,hate_video_3_frame450.jpg,TRO
 Fuck all niggers!,hate_video_3,1,hate_video_3_frame540.jpg,TRO
 Fuck all niggers!,hate_video_3,1,hate_video_3_frame600.jpg,ARO
 Fuck all niggers! Fuck all those niggers Fuck all niggers Fuck all niggers,hate_video_3,1,hate_video_3_frame600.jpg,ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame630.jpg,ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame690.jpg,ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame720.jpg,ARO
 Fuck all those niggers,hate_video_3,1,hate_video_3_frame780.jpg,ARO
 Rapping still my shit,hate_video_3,1,hate_video_3_frame810.jpg,ARO
 Rapping still my shit,hate_video_3,1,hate_video_3_frame840.jpg,TRO
 They wanna rap and steal my shit,hate_video_3,1,hate_video_3_frame900.jpg,TRO
 Because they can't get shit,hate_video_3,1,hate_video_3_frame960.jpg,TRO
 Go and get a job,hate_video_3,1,hate_video_3_frame990.jpg,TRO
